Circuit/Gate,Label, A1_AmtR, B1_BM3R1, B2_BM3R1, B3_BM3R1, E1_BetI, F1_AmeR, H1_HlyIIR, I1_IcaRA, L1_LitR, N1_LmrA, P1_PhlF, P2_PhlF, P3_PhlF, Q1_QacR, Q2_QacR, R1_PsrA, S1_SrpR, S2_SrpR, S3_SrpR, S4_SrpR
0xBD,Pass,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0xC4,Pass,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0xC7,Pass,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0xC8,Pass,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0xCD,Pass,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0xE8,Pass,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0xEA,Pass,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0xF6,Pass,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0xF7,Pass,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0xFB,Pass,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
consensus,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consensus_alt,Pass,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
majority,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
majority_alt_logic_circuit.txt,Pass,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
multiplexer,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multiplexer_alt_logic_circuit.txt,Pass,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bgAND,Pass,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
bgNAND,Pass,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
bgAIMPLYB,Pass,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
