Circuit/Gate,Label, A1_AmtR, B1_BM3R1, B2_BM3R1, B3_BM3R1, E1_BetI, F1_AmeR, H1_HlyIIR, I1_IcaRA, L1_LitR, N1_LmrA, P1_PhlF, P2_PhlF, P3_PhlF, Q1_QacR, Q2_QacR, R1_PsrA, S1_SrpR, S2_SrpR, S3_SrpR, S4_SrpR
0x06,Fail,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0x19,Fail,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0x36,Fail,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0x38,Fail,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0x6F,Fail,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0x82,Fail,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0x98,Fail,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0x9F,Fail,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0xB9,Fail,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0xC1,Fail,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0xC6,Fail,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0xC9,Fail,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0xF9,Fail,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
demultiplexer,Fail,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0x01,Pass,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0x04,Pass,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0x07,Pass,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0x08,Pass,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0x0B,Pass,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0x0E,Pass,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0x1C,Pass,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0x37,Pass,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0x3B,Pass,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0x3D,Pass,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0x41,Pass,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0x4D,Pass,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0x60,Pass,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0x6E,Pass,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0x70,Pass,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0x78,Pass,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0x7F,Pass,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x80,Pass,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0x87,Pass,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0x8E,Pass,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0xAE,Pass,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
